WBS,Nivel,Descripcion,Cantidad,Costo,Precio Venta,Fecha Inicio,Fecha Termino,Predecesoras,Sucesoras,Recursos
1,1,Proyecto Planta Orizaba,1,100000,130000,2026-06-01,2026-07-30,,1.1,"PMO General"
1.1,2,Ingenieria y preparacion de sitio,1,12000,15600,2026-06-01,2026-06-05,1,1.2,"Supervisor; Topografia"
1.2,2,Trazo y nivelacion de area,120,18000,23400,2026-06-06,2026-06-10,1.1,1.3,"Topografia; Cuadrilla civil"
1.3,2,Excavacion de cepas,85,22000,28600,2026-06-11,2026-06-16,1.2,1.4,"Retroexcavadora; Cuadrilla civil"
1.4,2,Colado de plantilla,85,9500,12350,2026-06-17,2026-06-20,1.3,1.5,"Concreto; Vibrador; Personal obra civil"
1.5,2,Montaje de soporteria principal,42,14000,18200,2026-06-21,2026-06-27,1.4,1.6,"Soldador; Ayudante; Herramienta"
1.6,2,Instalacion de tuberia 2 pulgadas,260,30000,39000,2026-06-28,2026-07-08,1.5,1.7,"Tuberia; Bridas; Cuadrilla mecanica"
1.7,2,Prueba hidrostatica,1,6500,8450,2026-07-09,2026-07-12,1.6,1.8,"Bomba de prueba; Inspector QA"
1.8,2,Pintura y proteccion anticorrosiva,260,7000,9100,2026-07-13,2026-07-18,1.7,1.9,"Pintura; Sandblast; Personal acabado"
1.9,2,As built y dossier documental,1,4000,5200,2026-07-19,2026-07-24,1.8,1.10,"Documentador; CAD"
1.10,2,Cierre administrativo y entrega,1,5000,6500,2026-07-25,2026-07-30,1.9,,"PM; Supervisor; Cliente"
